Event_id,cause_of_death,CartoDB_Cause_of_death,dataset,date,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",name,source,source_url
18,drowned,drowning or exhaustion related death,,2016-04-29T00:00:00Z,2016,84,0,84,"27 people were rescued by a passing merchant ship, and 84 have drowned as a boat from Libya attempted to reach Italy, but broke in 2 after about 2 hours at sea due to bad weather. The survivours have been brought to Lampedusa. The refugees came from West African countries",4 miles off Sabratha,32.90608,12.443467,"32.90608, 12.443467",,IOM,http://www.middleeasteye.net/news/scores-missing-latest-sinking-libyan-coast-828095045
19,drowned,drowning or exhaustion related death,,2016-04-15T00:00:00Z,2016,1,0,1,a body of a man was found close to the coast of Samos ,Samos,37.75,26.97,"37.75, 26.97",,Greek Coast Guard,http://www.hcg.gr/node/12395
20,drowned,drowning or exhaustion related death,,2016-04-15T00:00:00Z,2016,1,0,1,a body of a 3-year old girl was found in the water by Turkish fishermen off the coast of Izmir,Izmir,38.63,26.72,"38.63, 26.72",,Daily Star,http://www.dailystar.co.uk/news/latest-news/508405/Body-dead-refugee-child-girl-3-fisherman-net-Turkey
21,drowned,drowning or exhaustion related death,,2016-04-13T00:00:00Z,2016,469,0,469,"about 500 people are feared dead after 2 boats capcised on the way from Libya to Italy. 41 survivors were saved by a merchant ship and delivered to Kalamata, Greece. The accident happened in the middle of the night, and the death toll is estimated between 400 and 500. One boat has left from Tobruk.",Between Egypt and Italy,32.97,24.53,"32.97, 24.53",,UNHCR,http://www.unhcr.org/57177c199.html
22,drowned,drowning or exhaustion related death,,2016-04-18T00:00:00Z,2016,8,0,8,8 bodies were found in a drowning rubber boat close to Italy. 108 people resqued and taken to Lampedusa by a private ship called Aquarius (SOS Mediteranee charity). The survivors claimed that there were 135 passengers in the boat that left from the Libyan port of Sabratha,Close to Lampedusa,35.45,12.39,"35.45, 12.39",,The Local,http://www.thelocal.it/20160418/over-400-italy-bound-migrants-drowned-in-latest-boat-tragedy
23,drowned,drowning or exhaustion related death,,2016-04-13T00:00:00Z,2016,1,0,1,"a 27-y.o. man was found unconsious in port Rafti in Attika, and later died in hospical.","Porto Rafti, Attika",37.882,24.013,"37.882, 24.013",,Greek Coast Guard,http://www.hcg.gr/node/12375
24,drowned,drowning or exhaustion related death,,2016-04-11T00:00:00Z,2016,7,0,7,7 bodies were found by Tunisian fishermen in a port close to Lybian border,"Port El-Ketf, Ben Guerdane province",32.8304,11.616,"32.8304, 11.616",,AFP,https://www.lorientlejour.com/article/980558/tunisie-les-depouilles-de-sept-migrants-repechees-au-large-du-sud-du-pays.html
25,drowned,drowning or exhaustion related death,,2016-04-13T00:00:00Z,2016,1,0,1,"a man was found unconsious in the area of Nea Makri, Attika, and died in the Korgialenio - Benaki hospital",Nea Makri,38.086,23.98,"38.086, 23.98",,Greek Coast Guard,http://www.hcg.gr/node/12371
26,drowned,drowning or exhaustion related death,,2016-04-09T00:00:00Z,2016,5,4,9,"4 women and a child have drowned as their boat capsized in the Aegean Sea close to Samos on Saturday. 5 people have survuved, 4 still missing.",Samos,37.75,26.96,"37.75, 26.96",,AFP,http://www.romandie.com/news/Grece-5-migrants-dont-1-enfant-se-sont-noyes-en/693154.rom
27,drowned,drowning or exhaustion related death,,2016-04-03T00:00:00Z,2016,1,0,1,a refugee was found unconsious in the water and died in hospital ner the city of Voula,Voula,37.845,23.76,"37.845, 23.76",,Greek Coast Guard,http://www.hcg.gr/node/12311
28,drowned,drowning or exhaustion related death,,2016-04-01T00:00:00Z,2016,1,0,1,"a woman, about 30, was found dead on the island of Samos",Samos,37.68,26.94,"37.68, 26.94",,Greek Coast Guard,http://www.hcg.gr/node/12307
29,drowned,drowning or exhaustion related death,,2016-03-31T00:00:00Z,2016,12,0,12,the Egyptian coast guard reported that 127 weere rescued and 4 drowned after a boat sank off Kafr el-Sheikh province,Kafr el-Sheikh,31.61,30.77,"31.61, 30.77",,Sputnik,http://sputniknews.com/world/20160331/1037266113/migrant-ship-sinks.html
30,drowned,drowning or exhaustion related death,,2016-03-30T00:00:00Z,2016,4,86,90,"IOM Italy reports 86 refugees as missing after a boat sank off the cost of Libya, 4 corpses were later found on the Italian coast.",Sabratha,32.81,12.45,"32.81, 12.45",,"Reuters, IOM Italy",http://www.reuters.com/article/us-europe-migrants-italy-idUSKCN0WW2AY
31,drowned,drowning or exhaustion related death,,2016-03-28T00:00:00Z,2016,0,84,84,IOM Italy reported 84 people as dead off the coast of Libya,off the coast of Libya,39.027,16.699,"39.027, 16.699",,IOM Italy,
32,drowned,unknown - supposedly exhaustion related death,,2016-03-28T00:00:00Z,2016,1,0,1,a 55-year old man was found dead in the sea off Rodos,Rodos,36.05,27.99,"36.05, 27.99",,Greek Coast Guard,http://www.hcg.gr/node/12257
33,drowned,drowning or exhaustion related death,,2016-03-25T00:00:00Z,2016,12,0,12,"12 bodies have been found on the Libyan cost near Tripoly, the coast guard estimates they must have been in the waterr for several days",Tripoli,32.88,13.7,"32.88, 13.7",,Libyan Coast guard,https://www.cihan.com.tr/en/libya-coast-washed-ashore-2043333.htm
34,drowned,drowning or exhaustion related death,,2016-03-21T00:00:00Z,2016,4,0,4,4 people were reported dead by the IOM Italy between Libya and Lampedusa,Lampedusa,35.5,11.98,"35.5, 11.98",,IOM Italy,
35,drowned,drowning or exhaustion related death,,2016-03-20T00:00:00Z,2016,2,0,2,"2 refugees, aged 36 and 39, died in a hospital on the island of Lesvos, city of Mytilene, after being rescued from a boat by the coast guard",Lesvos,36.09,26.57,"36.09, 26.57",,Greek Coast guard,http://www.hcg.gr/node/12224
36,drowned,drowning or exhaustion related death,,2016-03-20T00:00:00Z,2016,2,0,2,2 underage girls died in a hospital on the island of Kalolimnos after being resqued from a boat with 57 other people,Kalolimnos,36.9,26.9,"36.9, 26.9",,Greek Coast guard,http://www.hcg.gr/node/12224
37,drowned,drowning or exhaustion related death,,2016-03-19T00:00:00Z,2016,1,0,1,"a body was found near Catania, Sicily",Catania,37.46,15.09,"37.46, 15.09",,IOM Italy,
38,drowned,drowning or exhaustion related death,,2016-03-19T00:00:00Z,2016,1,0,1,"a body was found near Pozallo, Sicily",Pozallo,36.64,14.85,"36.64, 14.85",,IOM Italy,
39,drowned,drowning or exhaustion related death,,2016-03-19T00:00:00Z,2016,9,0,9,"9 people have drowned off Lybia, supposedly trying to reach Europe",Zawiya,32.8,12.61,"32.8, 12.61",,AFP,http://www.nst.com.my/news/2016/03/133955/nine-migrants-drown-libya-hundreds-rescued
40,drowned,drowning or exhaustion related death,,2016-03-18T00:00:00Z,2016,4,0,4,4 people died when their boat cought fire off the cost of Libya,Sabratha,32.81,12.45,"32.81, 12.45",,Libyan Coast guard,http://news.xinhuanet.com/english/2016-03/18/c_135199264.htm
41,drowned,drowning or exhaustion related death,,2016-03-14T00:00:00Z,2016,0,8,8,8 men from Pakistan were reported missing near the island of Kos,Kos,36.8,27.2,"36.8, 27.2",,AFP,http://www.globalpost.com/article/6745938/2016/03/14/eight-migrants-missing-greece-protest-erupts-border-camp
42,drowned,drowning or exhaustion related death,,2016-03-16T00:00:00Z,2016,3,0,3,"Italian coast guard and navy, and a Norvegian ship found 3 drowned people during a search and resque operation in between Sicily and Borth Africa",Channel of Sicily,37.5,11.9,"37.5, 11.9",,Reuters,http://www.hurriyetdailynews.com/Default.aspx?pageID=238&nid=96589&NewsCatID=351
43,drowned,drowning or exhaustion related death,,2016-03-13T00:00:00Z,2016,1,0,1,A teenage boy from a North African country drowned trying to get on a boat standing in Melilla,Melilla,35.28,-2.93,"35.28, -2.93",,El Diario,http://www.eldiario.es/desalambre/Muere-Melilla-inmigrante-intentar-alcanzar_0_494150689.html
44,drowned,drowning or exhaustion related death,,2016-03-14T00:00:00Z,2016,3,0,3,A woman and two men drowned in a river close to the Greek-Macedonian border due to the string current,Idomeni,21.1,22.5,"21.1, 22.5",,Reuters,http://uk.reuters.com/article/uk-europe-migrants-macedonia-idUKKCN0WG0ZS
45,drowned,drowning or exhaustion related death,,2016-03-09T00:00:00Z,2016,1,0,1,a body of a man was found on a beach in Samos (N-E),Samos,37.7,27.01,"37.7, 27.01",,Greek Coast Guard,http://www.hcg.gr/node/12172
46,drowned,drowning or exhaustion related death,,2016-03-09T00:00:00Z,2016,1,0,1,a body of a man was found on a beach in Samos,Samos,37.7,26.9,"37.7, 26.9",,Greek Coast Guard,http://www.hcg.gr/node/12175
47,drowned,drowning or exhaustion related death,,2016-03-09T00:00:00Z,2016,5,2,7,5 people (including a baby) from Iran and Afhganistnan  have drowned off the Turkish coast while trying to reach Lesbos. The Turkish coast guard saved 9 more.,,39.3,26.4,"39.3, 26.4",,Dogan news agency,http://www.reuters.com/article/us-europe-migrants-turkey-idUSKCN0WC0PI
48,drowned,drowning or exhaustion related death,,2016-03-06T00:00:00Z,2016,25,0,25,"A boat sank off the Coast of Turkey, 25 people died among them 10 children. 15 were rescued.","Didim, West Turkey",37.3,27.2,"37.3, 27.2",,Hurriyet Daily,http://www.hurriyetdailynews.com/death-toll-in-latest-boat-tragedy-rises-to-25.aspx?pageID=238&nid=96135
49,drowned,drowning or exhaustion related death,,2016-02-19T00:00:00Z,2016,2,0,2,2 drowned refugees were found on Firday near Sicily by the Italian coast guard. They are believed to have attempted to get to Italy from Lybia in a wooden boat,Siculiana,37.3,13.4,"37.3, 13.4",,Reuters,http://www.skynews.com.au/news/world/europe/2016/02/20/two-refugees-drown-off-the-coast-of-sicily.html
50,drowned,drowning or exhaustion related death,,2016-02-10T00:00:00Z,2016,1,0,1,"1 man was found dead near the coast of Calais by the French coast guard. The corps has been in the water for a long time, and there were no papers on him.",Calais,50.9,1.8,"50.9, 1.8",,Figaro,http://www.lefigaro.fr/flash-actu/2016/02/10/97001-20160210FILWWW00174-calais-probablement-un-migrant-retrouve-mort.php
51,drowned,drowning or exhaustion related death,,2016-02-08T00:00:00Z,2016,27,11,38,27 people (11 children) were found dead and 4 were resqued after a boat capsized in West Turkey ,Erdemit Bay,39.5,26.9,"39.5, 26.9",,Dogan news agency,http://www.dailysabah.com/nation/2016/02/08/tragedy-strikes-migrants-in-the-aegean-again-27-dead
52,drowned,drowning or exhaustion related death,,2016-02-02T00:00:00Z,2016,9,0,9,"9 people (including 2 children) drowned, and 2 were saved when a boat sank off the coast of the Turkish provice Izmir.",Seferihisar coast,38.1,26.8,"38.1, 26.8",,Hurrieyet Daily,http://www.hurriyetdailynews.com/nine-migrants-drown-off-turkeys-aegean-coast.aspx?pageID=238&nID=94644&NewsCatID=341
53,drowned,drowning or exhaustion related death,,2016-01-31T00:00:00Z,2016,3,0,3,3 people drowned on the way from Didim to Farmakonisi. 12 were rescued by the Turkish coast guyrd,"Didim, West Turkey",37.3,27.2,"37.3, 27.2",,Hurrieyet Daily,http://www.hurriyetdailynews.com/Default.aspx?pageID=238&nid=94597&NewsCatID=341
54,drowned,drowning or exhaustion related death,,2016-01-30T00:00:00Z,2016,6,64,70,IOM reported 6 people dead and 64 missing in the Channel of Sicily,Channel of Sicily,37.5,11.9,"37.5, 11.9",,IOM Italy,
55,drowned,drowning or exhaustion related death,,2016-01-30T00:00:00Z,2016,39,0,39,"39 people (including 5 children) drowned and 75 saved by the Turkish coast guard after their boat hit the rocks on its way to Lesbos from Canakkale. The refugees came from Syria, Maynmar, and Afghanistan",Canakkale,39.4,26.1,"39.4, 26.1",,Anadolu news agency,http://aa.com.tr/en/turkey/39-dead-as-refugee-boat-sinks-off-western-turkey/512627
56,drowned,drowning or exhaustion related death,,2016-01-29T00:00:00Z,2016,1,0,1,A body of an infant was found on the island of Samos ,Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11948
57,drowned,drowning or exhaustion related death,,2016-01-29T00:00:00Z,2016,1,0,1,A body of a man was found on the island of Samos,Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11954
58,drowned,drowning or exhaustion related death,,2016-01-28T00:00:00Z,2016,6,0,6,6 people were found dead in a rummer dinghi by the Italian coast guard during the resque operation between Italy and Lybia. The coast guyrds have resqued 290 from 3 boats.,,37,16,"37, 16",,Reuters,http://uk.reuters.com/article/us-europe-migrants-italy-idUKKCN0V6211
59,drowned,drowning or exhaustion related death,,2016-01-28T00:00:00Z,2016,26,11,37,26 people (10 children) were found dead near an island of Samos. 10 people resqued.,Samos,37.7,26.8,"37.7, 26.8",,BBC,http://www.bbc.co.uk/news/world-europe-35430667
60,drowned,drowning or exhaustion related death,,2016-01-27T00:00:00Z,2016,7,3,10,"7 refugees (1 child among them) have drowned attempting to reach the Greek island of Kos. 1 man swam ashore, 3 still missing",Kos,36.8,27.2,"36.8, 27.2",,Reuters,http://www.dailysabah.com/nation/2016/01/27/at-least-seven-refugees-including-2-children-drown-in-aegean-near-greek-island
61,drowned,drowning or exhaustion related death,,2016-01-26T00:00:00Z,2016,5,0,5,"5 refugees have drowned, and 16 were resqued off the coast of Didim, West Turkey, as their boat sank on its way to the Greek island of Farmakonisi",Didim,37.3,27.2,"37.3, 27.2",,Dogan news agency,http://www.ndtv.com/world-news/5-drown-off-turkey-in-new-aegean-migrant-tragedy-reports-1270306
62,drowned,drowning or exhaustion related death,,2016-01-26T00:00:00Z,2016,1,0,1,A body of a man was found on the island of Samos (East),Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11895
63,drowned,drowning or exhaustion related death,,2016-01-24T00:00:00Z,2016,2,0,2,2 bodies (man and woman) were founded dead on the north-east of Samos,Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11888
64,drowned,drowning or exhaustion related death,,2016-01-24T00:00:00Z,2016,1,0,1,A heavily decayed body of a man was found on the island of Skyros by the coast guyrd,Skyros,38.8,26.4,"38.8, 26.4",,Greek Coast guard,http://www.hcg.gr/node/11888
65,drowned,drowning or exhaustion related death,,2016-01-24T00:00:00Z,2016,1,0,1,"A body of an underage girl was found on the island of Lesvos, Kaiga beach",Lesbos,39.1,26.21,"39.1, 26.21",,Greek Coast guard,http://www.hcg.gr/node/11886
66,drowned,drowning or exhaustion related death,,2016-01-23T00:00:00Z,2016,1,0,1,A body of a man was found off the coast of Samos (north),Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11885
67,drowned,drowning or exhaustion related death,,2016-01-22T00:00:00Z,2016,8,0,8,8 people drowned as a boat sank off the coast of the Greek island of Farmakonissi,Farmakonissi,37.2,26.8,"37.2, 26.8",,AFP,http://news.yahoo.com/german-coalition-fails-resolve-rift-refugees-114516379.html
68,drowned,drowning or exhaustion related death,,2016-01-22T00:00:00Z,2016,35,0,35,"35 bodies (17 women, 7 men, 11 children) recovered from a shipwreck off the coast of Kalolimnos, 26 people were resqued by the Greek coastguard. Later Turkeich coast gurd recovered 3 more bodies, and reseuqed 6 survivors in the area between Kalolimnos and Farmakonisi. They were crossing in a wooden sailboat",Kalolimnos,36.9,26.9,"36.9, 26.9",,Reuters,http://uk.reuters.com/article/uk-europe-migrants-greece-idUKKCN0V00NF
69,drowned,drowning or exhaustion related death,,2016-01-21T00:00:00Z,2016,13,11,24,"13 refugees (including a pregnant woman and 5 children) drowned, and 26 were resqued by the Turkish coast guard as a boat capsied on its way to Lesvos off the Tirkish resort town Foca",Foca,36.8,26.7,"36.8, 26.7",,Anadolu news agency,http://www.sfgate.com/world/article/12-seeking-asylum-drown-off-Turkey-in-rough-6775123.php
70,drowned,drowning or exhaustion related death,,2016-01-18T00:00:00Z,2016,1,8,9,Migrants reported that smugglers have killed one and pushed 8 overboard,Channel of Cicily,37.5,11.9,"37.5, 11.9",,IOM Italy,http://missingmigrants.iom.int/
71,drowned,drowning or exhaustion related death,,2016-01-18T00:00:00Z,2016,1,0,1,A decayed body of a drowned woman found on the coast of  Fournoi  island,Fournoi,39.6,26.5,"39.6, 26.5",,Greek Coast guard,http://www.hcg.gr/node/11863
72,drowned,drowning or exhaustion related death,,2016-01-16T00:00:00Z,2016,1,0,1,"A heavily decayed body of a man was found by the coast guard on Samos, Remataki area",Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11850
73,drowned,drowning or exhaustion related death,,2016-01-16T00:00:00Z,2016,6,0,6,"six bodies were found dead by the Greek coast guard off te coast of the island of Samos, believed to be drowned refugees",Samos,37.7,26.8,"37.7, 26.8",,Daily Mail,http://www.dailymail.co.uk/news/article-3402432/Six-refugees-dead-Greek-island-number-people-drowned-trying-cross-Mediterranean-surpasses-60-two-weeks-2016.html
74,drowned,drowning or exhaustion related death,,2016-01-15T00:00:00Z,2016,4,0,4,"4 people, (1 adult, 3 children), drowned when their boat sank on its way to Lesbos",West Turkey,39,26,"39, 26",,Daily Sabah,http://www.dailysabah.com/nation/2016/01/15/4-people-including-3-children-drown-as-refugee-boat-sinks-off-turkeys-aegean-coast
75,drowned,drowning or exhaustion related death,,2016-01-15T00:00:00Z,2016,3,0,3,"2 children drowned in a shipwreck near the Greek island of Agathonisi. 20 people were resqued by the volunteers, among them the Turkish smuggler, who was handed over to the Greek police.",Agathonisi,37.3,26.58,"37.3, 26.58",,Migrant Report,http://migrantreport.org/5327-2/
76,drowned,drowning or exhaustion related death,,2016-01-05T00:00:00Z,2016,6,0,6,The bodies of five men and one woman have been washed ashore in West Turkey this Tuesday. They have beed dead for 5 to 10 days., Seferihisar,38.1,26.8,"38.1, 26.8",,Reuters,http://uk.reuters.com/article/uk-europe-migrants-turkey-idUKKCN0US1GN20160114
77,drowned,drowning or exhaustion related death,,2016-01-11T00:00:00Z,2016,1,5,6,"As a group of 37 Somali refugees tried to reach the Puglia coast, thrown into the water by the trafickers. 35 resqued, 1 woman found drowned, at least 5 women reported missing",Italian coasts,41.1,16.9,"41.1, 16.9",,Reuters,http://news.yahoo.com/one-dead-5-missing-migrant-boat-italy-coastguard-142601270.html
78,drowned,drowning or exhaustion related death,,2016-01-11T00:00:00Z,2016,3,3,6,"Two women and a 5-y.o.girl drowned after a speedboat sinks off Ayvacik on its way to Lesbos, carrying 16 migrants. The rest survived, rescued or swam ashore. The search continues for 2 men and a boy. Cause of the accident- bad weather",West Turkey,39.5,26.4,"39.5, 26.4",,Reuters,http://uk.reuters.com/article/uk-europe-migrants-turkey-idUKKCN0US1GN20160114
79,drowned,drowning or exhaustion related death,,2016-01-08T00:00:00Z,2016,1,0,1,A heavily decayed body of a woman found on Lesvos,Lesbos,39.1,26.21,"39.1, 26.21",,Greek Coast guard,http://www.hcg.gr/node/11813
80,drowned,drowning or exhaustion related death,,2016-01-05T00:00:00Z,2016,1,0,1,A decayed body of a drowned woman found on the coast of  Fournoi  island, Fournoi,39.6,26.5,"39.6, 26.5",,Greek Coast guard,http://www.hcg.gr/node/11806
81,drowned,drowning or exhaustion related death,,2016-01-05T00:00:00Z,2016,7,0,7,"The bodies of 36 migrants have been found, including 29 recovered by the Turkish gendarmerie and seven by the coastguard. It was not immediately clear how many boats had sunk in the high seasonal winds although the Dogan news agency said at least two separate incidents were involved.",Ayvacik,39.44,26.39,"39.44, 26.39",,AFP,https://web.archive.org/save/http://news.yahoo.com/bodies-nine-migrants-found-washed-turkey-beach-report-081952667.html
82,drowned,drowning or exhaustion related death,,2016-01-05T00:00:00Z,2016,29,0,29,"The bodies of 36 migrants have been found, including 29 recovered by the Turkish gendarmerie and seven by the coastguard. It was not immediately clear how many boats had sunk in the high seasonal winds although the Dogan news agency said at least two separate incidents were involved.",Ayvacik,39.44,26.39,"39.44, 26.39",,AFP,https://web.archive.org/save/http://news.yahoo.com/bodies-nine-migrants-found-washed-turkey-beach-report-081952667.html
83,drowned,drowning or exhaustion related death,,2016-01-04T00:00:00Z,2016,2,0,2,"2  bodies, of a young woman (about 25), and a girl (7-10) was found on the island of Ikaria",Ikaria,37.6,26.3,"37.6, 26.3",,Greek Coast guard,http://www.hcg.gr/node/11806
84,drowned,drowning or exhaustion related death,,2016-01-04T00:00:00Z,2016,1,0,1,A body of a man was found on the island of Tinos,Tinos,37.6,25.2,"37.6, 25.2",,Greek Coast guard,http://www.hcg.gr/node/11806
85,drowned,drowning or exhaustion related death,,2016-01-04T00:00:00Z,2016,1,0,1,"A heavily decayed body of a man, 30-40 y.o. was found on the shore of Samos",Samos,37.7,26.8,"37.7, 26.8",,Greek Coast guard,http://www.hcg.gr/node/11802
86,drowned,drowning or exhaustion related death,,2016-01-04T00:00:00Z,2016,4,0,4,"4 bodies (1 woman, 3 men)  were washed ashore on the island of Fournoi",Fournoi,39.6,26.5,"39.6, 26.5",,Greek Coast guard,http://www.hcg.gr/node/11797
87,drowned,drowning or exhaustion related death,,2016-01-02T00:00:00Z,2016,1,0,1,A drowned two-year-old boy became the first known migrant casualty of the year on Saturday after the crowded dinghy he was travelling in slammed into rocks off Greece's Agathonisi island,Agathonisi,37.4653524,26.9676859,"37.4653524, 26.9676859",,AFP,https://web.archive.org/save/http://news.yahoo.com/drowned-toddler-becomes-first-2016-migrant-casualty-aegean-215810825.html
88,drowned,drowning or exhaustion related death,,2015-12-25T00:00:00Z,2015,2,0,2,A mass attempt to scale the border fence on the Spanish island of Ceuta and reach European shores has left at least two people dead and 12 others injured.,Benzu,35.9157,-5.40833,"35.9157, -5.40833",,Red Cross,https://web.archive.org/web/20151226074455/http://www.aljazeera.com/news/2015/12/drown-hundreds-migrants-swim-ceuta-151225150532407.html
89,drowned,drowning or exhaustion related death,,2015-12-22T00:00:00Z,2015,11,0,11,11 people including three children crossing the Aegean Sea to Greece have drowned after their boat capsized,Samos,37.711,26.8,"37.711, 26.8",,Turkish Coast Guard,https://web.archive.org/save/http://news.yahoo.com/latest-luxembourg-fm-says-eu-migrant-response-failed-125412714.html
